mean_intensity,std_intensity,contrast,entropy,gradient,label,image_path
145.89685,51.816635,0.35515937,7.180135668429291,19.444009748771048,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1.png
148.21422,65.08138,0.4391035,7.6173410294011825,39.65689958263164,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1175.png
173.97772,54.045704,0.31064728,7.5056762363663925,32.3683730480585,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1613.png
133.25508,44.188396,0.33160758,6.873465962265976,17.772055443179624,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-948.png
138.80002,53.86935,0.38810766,7.355742952460721,30.529122740092284,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-790.png
143.03413,62.204933,0.43489572,7.541124218822187,37.54085149966954,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3004.png
139.30579,54.2036,0.389098,7.578660827159548,33.606368969486546,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3010.png
145.58235,35.87976,0.2464568,6.924191753439866,22.72421711302943,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1607.png
155.08638,52.020996,0.3354324,7.299723887120827,34.44881956484459,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-784.png
136.55344,75.35696,0.5518496,7.653627516195117,25.09880030082533,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1161.png
62.413845,20.23298,0.32417455,6.098634743883541,8.541215837558825,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2468.png
142.27916,51.68432,0.36325994,7.59632555691668,34.56847519705609,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1149.png
135.8468,54.558567,0.40161833,7.25812225820996,33.73141855117812,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2440.png
137.10738,67.54727,0.49265966,7.5213669822171445,39.381131885963995,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3038.png
138.58649,57.491413,0.4148414,7.641833516241557,33.41388597843719,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2326.png
162.13885,31.117952,0.19192162,6.764672922358455,17.31095361770656,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-974.png
139.27695,59.90494,0.43011382,7.463646722590888,32.66220107019449,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-960.png
143.81761,45.894924,0.31911895,7.193012686947937,27.258604177937144,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2332.png
131.2438,63.913765,0.486985,7.504441113192469,40.61499290976405,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2454.png
149.67194,40.4656,0.27036196,7.123545439441096,18.136502286797302,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-753.png
163.40555,76.048386,0.46539658,7.383197865644741,25.604325623606293,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1808.png
156.41791,44.063866,0.281706,7.197301777757359,23.9086729812407,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-747.png
95.6425,43.777714,0.4577224,7.28309978760715,30.058075684038883,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2483.png
154.48001,39.887424,0.25820443,7.155674057979553,23.907009176120027,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1834.png
182.85544,58.202946,0.31830034,7.213904796153703,30.186599126784884,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1820.png
125.60586,87.78009,0.6988535,6.841235175253076,35.73874996105416,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2497.png
145.66496,56.031822,0.38466233,7.537134196208523,24.847152262039018,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2118.png
161.72543,63.659744,0.39362854,7.594200103507564,33.129996126329694,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3206.png
109.65463,43.41753,0.395948,7.274499533658469,22.042440376565516,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-592.png
155.54857,33.96437,0.21835218,6.97113098646214,35.75712325647837,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1411.png
148.03886,23.11604,0.15614845,6.5072382702604745,30.181066043772123,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1377.png
113.71266,93.79878,0.8248754,6.246199322302773,26.639002549182777,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3560.png
150.40715,58.9466,0.39191356,7.392102257754044,29.30930507458409,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3574.png
105.70506,20.720837,0.19602501,6.273091188886311,18.880024324801845,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1363.png
146.03632,54.931114,0.37614694,7.11633790793992,25.441393322931056,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-586.png
144.13931,37.08208,0.25726557,7.121182438292483,36.149810650191505,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1405.png
135.06937,58.367954,0.43213317,7.516138922894854,32.446889659076994,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3212.png
140.91771,77.82809,0.55229455,7.129714434728108,28.00362802253784,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2124.png
138.28206,54.04526,0.3908335,7.619103424230858,20.18435542556959,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2642.png
147.53741,59.759304,0.4050451,7.5122595278715325,27.921702127957786,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3548.png
159.19409,73.054886,0.4589045,7.402143218473938,39.469454212525065,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2656.png
156.90964,38.44959,0.24504288,7.08174491410801,19.460349675583117,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2130.png
182.20297,42.263947,0.2319608,7.20948925818606,18.527028920475225,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1439.png
147.4572,73.908195,0.50121796,7.658605620892579,31.41377943930554,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-551.png
167.74857,48.946014,0.29178202,7.4888698312739,33.83702593852809,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2865.png
135.66426,44.440083,0.32757398,7.357949140778473,31.90090584333627,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-237.png
146.58093,63.138985,0.43074486,7.520304381016169,31.51667910121186,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-223.png
132.9902,68.64807,0.5161889,7.2863406350651685,34.03139138044088,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2871.png
108.64371,75.62914,0.6961208,7.161665388419627,50.514551787361945,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-545.png
102.07847,71.54706,0.7009025,7.2561862828004315,40.782760790324424,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-22.png
162.46204,73.804794,0.4542895,7.533834029744867,20.804149569235676,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1388.png
143.41809,41.926323,0.29233637,7.180720412952615,27.720816877296436,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2681.png
131.14699,44.05654,0.33593255,6.976509634259057,23.724083332349597,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2859.png
169.12344,67.39804,0.39851388,7.575347978183687,27.663926593792524,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-2695.png
141.32826,29.153013,0.20627873,6.865874351025044,22.385770113351352,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-579.png
153.96219,81.389534,0.52863324,7.460204124830371,33.12168836629865,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-36.png
116.937935,69.00926,0.5901358,6.635027749974733,28.810453172636347,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3372.png
162.65562,66.93109,0.41148955,7.688426158973332,28.914926885953676,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1565.png
148.04572,52.351463,0.35361686,7.453007742450534,26.704332617928813,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-380.png
148.4813,47.826824,0.32210672,7.374967996276285,30.204356496027327,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-1203.png
158.09264,78.81995,0.49856812,7.588021075654715,37.559602611061145,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3414.png
105.88124,65.928276,0.6226625,7.674405478517781,23.346240058891752,COVID,../data/COVID-19_Radiography_Dataset/COVID/images/COVID-3400.png
