epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7264259457588196,0.0010000000474974513,0.6190543174743652,0.8066141605377197,0.4932726323604584
1,0.7910901308059692,0.0010000000474974513,0.4477252662181854,0.8292913436889648,0.4499377906322479
2,0.814714789390564,0.0010000000474974513,0.40909770131111145,0.8651968240737915,0.3627808690071106
3,0.8226122260093689,0.0010000000474974513,0.38796624541282654,0.8494488000869751,0.39181530475616455
4,0.8251096606254578,0.0010000000474974513,0.38181477785110474,0.859527587890625,0.374984472990036
5,0.8296321034431458,0.0010000000474974513,0.37261077761650085,0.8617323040962219,0.35676923394203186
6,0.8366520404815674,0.0010000000474974513,0.35050836205482483,0.8822047114372253,0.32664117217063904
7,0.8406344652175903,0.0010000000474974513,0.3524773120880127,0.8818897604942322,0.3352672755718231
8,0.837867021560669,0.0010000000474974513,0.3545750081539154,0.8674015998840332,0.3543582856655121
9,0.843334436416626,0.0010000000474974513,0.3405734896659851,0.8866141438484192,0.31787940859794617
10,0.8471819162368774,0.0010000000474974513,0.34169092774391174,0.8903936743736267,0.3142687976360321
11,0.8448869585990906,0.0010000000474974513,0.34404656291007996,0.8875590562820435,0.3048554062843323
