epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7722578644752502,9.999999747378752e-06,0.5066785216331482,0.7943307161331177,0.5058098435401917
1,0.7948700785636902,9.999999747378752e-06,0.4617808759212494,0.8022047281265259,0.5038946270942688
2,0.8120823502540588,9.999999747378752e-06,0.4235075116157532,0.8050393462181091,0.49941882491111755
3,0.8249747157096863,9.999999747378752e-06,0.4060298502445221,0.8223621845245361,0.44873493909835815
4,0.8328720927238464,9.999999747378752e-06,0.3835400640964508,0.8223621845245361,0.458520770072937
5,0.8407019972801208,9.999999747378752e-06,0.35346829891204834,0.8368504047393799,0.4298449754714966
6,0.8537293076515198,9.999999747378752e-06,0.3380308747291565,0.7751181125640869,0.537390410900116
7,0.8605467677116394,9.999999747378752e-06,0.32155802845954895,0.8418897390365601,0.4200618863105774
8,0.867769181728363,9.999999747378752e-06,0.3070472776889801,0.8548031449317932,0.3837036192417145
9,0.8645291924476624,9.999999747378752e-06,0.3004339337348938,0.8302361965179443,0.4457138180732727
10,0.8781639933586121,9.999999747378752e-06,0.27924004197120667,0.8494488000869751,0.40219610929489136
11,0.8798515200614929,9.999999747378752e-06,0.2664427161216736,0.7984251976013184,0.5260634422302246
12,0.8982787728309631,1.9999999949504854e-06,0.22576840221881866,0.8497637510299683,0.4139344394207001
13,0.9007762670516968,1.9999999949504854e-06,0.22247621417045593,0.8207874298095703,0.4892866611480713
