epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6710091233253479,0.0010000000474974513,0.7579264640808105,0.7190551161766052,0.7186302542686462
1,0.719203531742096,0.0010000000474974513,0.637247622013092,0.7155905365943909,0.721620500087738
2,0.7314208745956421,0.0010000000474974513,0.5979424118995667,0.7584251761436462,0.5934183597564697
3,0.7441781759262085,0.0010000000474974513,0.5741432309150696,0.7710236310958862,0.5849089026451111
4,0.7440431714057922,0.0010000000474974513,0.5674974918365479,0.7974802851676941,0.5313489437103271
5,0.7491731643676758,0.0010000000474974513,0.5647981762886047,0.6796850562095642,0.7072043418884277
6,0.749713122844696,0.0010000000474974513,0.5567731857299805,0.7540157437324524,0.5954177379608154
7,0.7571380138397217,0.0010000000474974513,0.5438728928565979,0.7933858036994934,0.5976203083992004
8,0.7724603414535522,0.00020000000949949026,0.502978503704071,0.7952755689620972,0.5331642031669617
9,0.7831926941871643,0.00020000000949949026,0.4955890476703644,0.7880315184593201,0.5431215167045593
